NEW-Gene-ID,Zscore,Direction,P
OFD1,-5.321,-,1.033E-07
RAB1B,5.316,+,0.000000106
RNF181,5.315,+,1.065E-07
MSRA,5.314,+,1.071E-07
C1orf177,5.304,+,1.134E-07
PANK2,5.299,+,1.164E-07
SUPV3L1,-5.291,-,1.214E-07
RAB44,5.284,+,1.265E-07
ANKRD35,5.283,+,1.272E-07
LILRB2,5.279,+,1.301E-07
C1orf52,-5.276,-,1.323E-07
C2orf15,-5.272,-,1.347E-07
PREPL,-5.272,-,1.352E-07
ORC3,-5.266,-,1.395E-07
GLB1,5.262,+,1.422E-07
LRP3,5.261,+,0.000000143
MYH10,-5.261,-,1.432E-07
RPL39L,5.26,+,1.442E-07
TCTEX1D1,5.258,+,1.453E-07
SNX25,-5.258,-,1.457E-07
COL9A2,5.254,+,1.489E-07
IFI35,5.252,+,1.501E-07
LYL1,5.25,+,1.521E-07
DROSHA,-5.249,-,1.526E-07
DMD,5.247,+,1.545E-07
CD200R1,-5.247,-,1.545E-07
FBP1,5.247,+,1.547E-07
KLRC3,5.245,+,1.564E-07
SUCNR1,5.241,+,1.598E-07
ENPP5,5.238,+,1.619E-07
DTNBP1,5.235,+,1.653E-07
SMPDL3A,5.233,+,1.672E-07
CCDC59,-5.232,-,1.673E-07
ARGLU1,-5.228,-,1.718E-07
TPP1,5.223,+,1.757E-07
SECISBP2,-5.214,-,1.844E-07
ZNF614,-5.213,-,1.856E-07
DPH6,-5.211,-,1.875E-07
ABI2,-5.208,-,1.907E-07
ZCCHC17,5.208,+,1.909E-07
MSANTD2,-5.195,-,2.043E-07
FBXO3,-5.195,-,0.000000205
PLAGL1,5.188,+,2.123E-07
TOR1B,5.186,+,2.145E-07
OLAH,5.183,+,0.000000218
ZNF540,-5.182,-,2.199E-07
WDR19,-5.174,-,2.295E-07
FOLR2,5.168,+,2.363E-07
SRSF7,-5.165,-,2.401E-07
SCAF4,-5.164,-,2.415E-07
SUZ12,-5.164,-,2.422E-07
PRSS57,5.163,+,2.431E-07
MPRIP,-5.163,-,2.435E-07
LPXN,-5.16,-,2.465E-07
KCNA3,-5.159,-,2.479E-07
CTDSP1,5.155,+,2.534E-07
DLL1,-5.153,-,2.566E-07
GNA15,5.148,+,2.628E-07
UBE2L6,5.145,+,2.676E-07
AMPH,5.144,+,2.694E-07
ATP8B4,5.14,+,2.747E-07
CCDC104,-5.14,-,0.000000275
CEACAM8,5.139,+,2.768E-07
PAPOLA,-5.138,-,2.783E-07
ZNF235,-5.134,-,0.000000284
GK2,5.132,+,0.000000287
TPM1,5.131,+,2.888E-07
POP5,-5.127,-,2.946E-07
SHQ1,-5.125,-,2.977E-07
FPR3,5.121,+,3.044E-07
PDE6B,-5.118,-,3.085E-07
ZNF395,-5.112,-,3.191E-07
RSBN1,-5.103,-,3.343E-07
APCDD1,5.098,+,3.433E-07
PTPN4,5.098,+,3.434E-07
ZNF562,-5.098,-,3.435E-07
C2CD5,-5.097,-,3.456E-07
EPN1,5.093,+,3.519E-07
PHPT1,5.092,+,3.539E-07
CSNK1D,5.091,+,3.554E-07
RARA,5.089,+,3.604E-07
CRY1,-5.085,-,3.671E-07
RP11-617D20.1,-5.081,-,3.757E-07
SLC37A3,5.081,+,0.000000376
CAP1,5.081,+,3.763E-07
TRIM22,5.073,+,0.000000392
PPP1CA,5.073,+,3.921E-07
TMCC2,5.072,+,3.934E-07
RINT1,-5.072,-,3.941E-07
WDR27,-5.07,-,3.982E-07
MDN1,-5.069,-,3.994E-07
LRSAM1,5.067,+,4.035E-07
DLG4,5.066,+,4.055E-07
SSB,-5.066,-,4.059E-07
CEACAM1,5.059,+,4.211E-07
OSCAR,5.053,+,0.000000434
APPBP2,-5.052,-,4.372E-07
GTPBP8,-5.052,-,0.000000438
DET1,-5.042,-,4.595E-07
SRP68,-5.042,-,4.617E-07
URB2,-5.041,-,4.626E-07
THEMIS2,5.041,+,0.000000464
WDR92,-5.04,-,4.657E-07
PAFAH2,5.038,+,4.699E-07
SRGN,5.038,+,0.000000471
SMEK1,-5.037,-,4.727E-07
KLHDC1,-5.031,-,4.876E-07
IFI6,5.03,+,4.913E-07
CMPK1,-5.029,-,4.929E-07
JUND,5.029,+,4.933E-07
SAFB,-5.028,-,4.964E-07
PILRA,5.026,+,5.003E-07
BLNK,-5.026,-,5.004E-07
POLR3B,-5.026,-,5.004E-07
NDUFAF3,5.026,+,5.017E-07
ZC3HAV1,-5.02,-,5.169E-07
PRKCQ,-5.02,-,5.173E-07
MGAT4B,5.019,+,5.195E-07
EIF4E3,5.018,+,5.211E-07
PDE4A,5.017,+,5.253E-07
NSFL1C,5.016,+,5.286E-07
DUT,-5.013,-,5.362E-07
CCND2,-5.013,-,5.369E-07
FTL,5.012,+,5.395E-07
UQCRC1,5.008,+,5.494E-07
EIF3J,-5.006,-,5.554E-07
ZNF649,-5.006,-,5.566E-07
TUBB6,4.998,+,5.786E-07
WDHD1,-4.998,-,5.804E-07
IL18R1,4.997,+,0.000000582
PRTN3,4.993,+,0.000000596
TMSB10,4.991,+,6.018E-07
N4BP2L2,-4.99,-,6.053E-07
CETN3,-4.989,-,6.077E-07
ZNF207,-4.989,-,6.085E-07
REEP5,4.987,+,6.146E-07
CDK5,4.986,+,0.000000615
ERCC1,4.985,+,6.212E-07
FCGR2A,4.984,+,6.213E-07
RPRD1A,-4.983,-,6.267E-07
FXN,-4.983,-,6.268E-07
NUPL2,-4.98,-,6.374E-07
QARS,-4.978,-,6.419E-07
ACP1,-4.977,-,6.473E-07
PRRC2C,-4.974,-,6.545E-07
NAP1L4,-4.972,-,6.618E-07
ALDH18A1,-4.97,-,0.000000669
CEBPZ,-4.969,-,6.715E-07
FUBP3,-4.969,-,6.741E-07
DKK3,-4.965,-,6.867E-07
SACS,-4.963,-,6.942E-07
ZNF195,-4.962,-,6.974E-07
GATS,4.957,+,7.156E-07
CYB5R3,4.956,+,7.192E-07
ELANE,4.954,+,7.274E-07
RABEP1,-4.95,-,7.414E-07
IPO7,-4.949,-,7.447E-07
WDR41,4.945,+,7.609E-07
PRCP,4.945,+,7.612E-07
TECR,-4.942,-,7.742E-07
DIAPH2,4.942,+,0.000000775
QRSL1,-4.941,-,7.762E-07
DENND4A,-4.939,-,7.846E-07
NAPEPLD,-4.939,-,7.848E-07
CDKN2B,4.938,+,7.891E-07
ZCCHC8,-4.936,-,7.973E-07
PKM,4.935,+,8.015E-07
FBXW5,4.933,+,8.103E-07
CAMP,4.931,+,8.177E-07
PRUNE2,4.928,+,8.326E-07
AASDHPPT,-4.916,-,8.833E-07
RPS11,-4.915,-,8.886E-07
LRRK1,4.914,+,8.907E-07
NCKAP1L,4.909,+,9.155E-07
LMO2,4.907,+,9.252E-07
SLC22A17,-4.901,-,9.515E-07
NOV,4.9,+,9.581E-07
CHN2,4.899,+,0.000000961
GTF2I,-4.898,-,9.683E-07
SLC25A17,-4.898,-,9.687E-07
AKAP1,-4.898,-,0.000000969
RAB34,4.897,+,9.735E-07
IFT88,-4.894,-,0.000000987
ACOX2,4.883,+,0.000001045
ARPC2,4.874,+,0.000001092
HNRNPR,-4.872,-,0.000001105
MRPS6,-4.87,-,0.000001118
RAB2A,4.869,+,0.000001123
PTBP1,-4.868,-,0.000001125
DKFZP761J1410,4.868,+,0.000001128
OLFM4,4.867,+,0.000001134
TSPAN18,-4.866,-,0.00000114
ADCY4,4.861,+,0.00000117
PYCARD,4.86,+,0.000001174
ERP27,-4.858,-,0.000001184
IDO1,4.858,+,0.000001185
COMMD4,4.856,+,0.000001196
SFXN5,4.854,+,0.000001207
CATSPER1,4.854,+,0.000001208
WDR33,-4.85,-,0.000001235
ZNF134,-4.849,-,0.000001238
SMC2,-4.847,-,0.000001251
KIF2A,-4.842,-,0.000001285
ZNF519,-4.836,-,0.000001322
MAP3K6,4.834,+,0.000001336
CTSZ,4.83,+,0.000001363
BTF3,-4.828,-,0.000001377
CDC23,-4.825,-,0.000001402
VPS35,-4.821,-,0.00000143
C10orf137,-4.819,-,0.00000144
FAM216A,-4.819,-,0.000001443
ABCG1,4.818,+,0.000001448
FIGNL1,-4.817,-,0.000001458
PRSS35,-4.816,-,0.000001463
HNRNPA1,-4.812,-,0.000001491
FZD3,-4.812,-,0.000001496
MARCH9,-4.81,-,0.000001508
RAB8A,4.808,+,0.000001524
ZMYM2,-4.807,-,0.000001529
POLA1,-4.805,-,0.00000155
ANKRD26,-4.802,-,0.00000157
ENOPH1,-4.801,-,0.00000158
NUDT16P1,4.798,+,0.000001602
ATP9B,-4.796,-,0.000001621
TNRC6C,-4.792,-,0.000001649
SYNRG,-4.789,-,0.000001679
PLP2,4.787,+,0.000001692
IQCB1,-4.787,-,0.000001693
MRPL36,-4.784,-,0.000001715
BEST1,4.782,+,0.000001737
CUX1,4.779,+,0.000001761
MYCBP2,-4.777,-,0.000001775
MATK,4.777,+,0.000001778
SCOC,-4.774,-,0.000001802
STXBP2,4.768,+,0.000001858
HELQ,-4.766,-,0.00000188
FAM175B,-4.763,-,0.000001904
CALHM1,4.761,+,0.000001926
SUPT16H,-4.76,-,0.000001932
SLC24A4,4.76,+,0.000001934
CUL4B,-4.756,-,0.000001974
LINC00649,-4.753,-,0.000002006
CCNE1,-4.752,-,0.00000201
RBM25,-4.747,-,0.000002064
MTPAP,-4.746,-,0.000002075
ARMCX6,-4.745,-,0.000002082
REV1,-4.744,-,0.000002099
DLAT,-4.743,-,0.000002105
GRAMD4,4.742,+,0.000002111
STT3B,-4.74,-,0.000002133
SYNJ2,-4.739,-,0.000002144
ZNF702P,-4.737,-,0.000002174
BOK,4.737,+,0.000002174
ASB3,-4.732,-,0.000002227
METTL7A,4.731,+,0.000002229
PWP1,-4.731,-,0.000002233
RSRC2,-4.73,-,0.000002246
CCDC17,4.728,+,0.00000227
KCNK10,4.726,+,0.000002289
GLRX,4.724,+,0.000002315
USP37,-4.718,-,0.000002384
TRPS1,4.715,+,0.000002421
PAGR1,-4.713,-,0.000002438
MPP6,-4.71,-,0.000002476
MTX1,4.707,+,0.000002514
RNGTT,-4.705,-,0.000002535
CKLF,4.705,+,0.000002536
SAT1,4.703,+,0.000002563
CCL28,-4.699,-,0.00000261
METAP1,-4.699,-,0.000002615
BTD,4.698,+,0.000002622
MLLT10,-4.694,-,0.000002676
SENP7,-4.693,-,0.000002695
MRPL46,-4.693,-,0.000002696
ZNF451,-4.686,-,0.000002781
FCGRT,4.685,+,0.000002806
MAD2L1,-4.682,-,0.000002844
DPH3,4.682,+,0.000002844
PTCRA,4.679,+,0.000002879
INPP1,4.678,+,0.00000289
DENND5B,-4.675,-,0.000002943
MVB12B,4.672,+,0.000002977
WDR36,-4.67,-,0.000003011
SGK3,4.67,+,0.000003018
EBNA1BP2,-4.668,-,0.000003045
TUBE1,-4.668,-,0.000003047
NCAPD3,-4.666,-,0.000003067
CTDSPL,4.665,+,0.000003088
IST1,-4.665,-,0.000003089
CKB,4.664,+,0.000003098
ACOT7,4.664,+,0.0000031
USP36,-4.663,-,0.000003115
CHST12,4.663,+,0.00000312
CMIP,4.662,+,0.000003136
BAX,4.659,+,0.000003179
RAB4B,4.659,+,0.000003185
PIWIL4,4.658,+,0.000003201
ATXN2,-4.657,-,0.000003203
FBXW2,4.655,+,0.000003245
WDR6,-4.651,-,0.000003297
BET1,-4.65,-,0.000003327
COG2,-4.647,-,0.000003364
NKIRAS1,-4.645,-,0.0000034
HNRNPUL1,-4.645,-,0.000003401
LINC00482,4.642,+,0.000003445
MSRB2,4.64,+,0.000003478
DNAJA4,-4.639,-,0.0000035
RALGPS2,-4.638,-,0.000003516
SMAP2,4.636,+,0.000003551
RFESD,-4.636,-,0.000003554
TTC37,-4.633,-,0.000003602
INTS3,4.63,+,0.000003659
COG6,-4.629,-,0.000003668
ABCC5,4.629,+,0.000003679
SLC25A26,-4.627,-,0.000003711
EXTL3,4.627,+,0.000003717
DBNDD1,-4.626,-,0.000003722
CR1,4.626,+,0.000003733
TM4SF1,4.624,+,0.000003763
TRAM1,-4.623,-,0.00000378
ZNHIT1,4.622,+,0.000003792
CPSF6,-4.621,-,0.000003818
ESYT2,-4.621,-,0.000003824
PURA,-4.616,-,0.000003904
NME7,-4.616,-,0.000003908
TCEAL3,-4.615,-,0.000003936
CBS,4.614,+,0.000003942
PRAM1,4.612,+,0.000003995
FAM57A,-4.611,-,0.000004001
ASNS,-4.61,-,0.00000402
VASP,4.61,+,0.000004023
ZNF616,-4.609,-,0.000004054
CAAP1,-4.608,-,0.000004058
PCTP,4.608,+,0.00000406
CHD6,-4.608,-,0.000004067
ICAM2,-4.608,-,0.000004071
PSMB10,4.606,+,0.000004097
DCUN1D4,-4.606,-,0.000004115
SLC6A10P,4.603,+,0.000004168
ZMYND8,-4.602,-,0.000004175
VEGFA,4.602,+,0.000004187
TTC38,13.274,+,3.282E-40
MZB1,-8.528,-,1.487E-17
TCF7,-8.459,-,2.694E-17
FAM159A,-7.788,-,6.818E-15
VOPP1,6.691,+,2.223E-11
TADA3,5.761,+,8.345E-09
FAM153B,-5.105,-,0.00000033
MYOF,5.079,+,3.792E-07
GAR1,-4.951,-,7.365E-07
RPSAP15,-4.67,-,0.000003005
NOD1,4.601,+,0.000004211
MANEA,-4.601,-,0.000004213
NAP1L2,4.601,+,0.000004214
CASD1,-4.6,-,0.000004218
MLKL,4.6,+,0.000004221
BLCAP,-4.6,-,0.000004232
REC8,4.598,+,0.000004275
SLC11A1,4.597,+,0.000004292
TMEM14C,-4.596,-,0.000004297
CXorf38,4.596,+,0.000004307
PDCD2,-4.595,-,0.000004337
PSEN1,4.594,+,0.000004349
HMG20B,4.594,+,0.000004356
TCF20,-4.593,-,0.000004366
GPR137,4.593,+,0.000004368
NUDT14,4.592,+,0.000004386
SLPI,4.592,+,0.000004391
PELI2,4.592,+,0.000004392
RGS12,4.592,+,0.000004399
COX10,-4.59,-,0.000004431
AEBP1,-4.588,-,0.000004471
ERP29,-4.588,-,0.000004476
MTHFD2L,-4.587,-,0.000004486
SOD2,4.587,+,0.000004487
GNPDA2,-4.587,-,0.000004495
HLA-DRA,4.587,+,0.000004498
PHOSPHO2,-4.586,-,0.000004511
PLEKHA8P1,-4.586,-,0.000004511
LATS2,4.584,+,0.00000457
RDH10,4.582,+,0.000004612
SLC9A8,4.581,+,0.000004631
AKAP11,-4.579,-,0.000004681
NT5DC1,-4.576,-,0.00000474
MKKS,-4.576,-,0.000004741
PVALB,4.574,+,0.000004776
MS4A14,4.57,+,0.000004888
CRYZL1,-4.568,-,0.000004928
RUSC1,4.568,+,0.000004934
DNAJC27,-4.565,-,0.000004985
USP16,-4.565,-,0.00000499
PGP,4.564,+,0.000005016
FTH1,4.562,+,0.000005055
LOC93622,-4.561,-,0.000005084
CAND1,-4.558,-,0.000005168
CSNK2A1,-4.556,-,0.000005205
FOS,4.556,+,0.000005206
EMG1,-4.554,-,0.000005271
ZNF416,-4.553,-,0.000005289
CBFA2T2,-4.552,-,0.000005308
PPP1CC,-4.551,-,0.000005351
EIF2B2,4.548,+,0.000005415
CLDN5,4.548,+,0.000005419
ARL6IP5,4.545,+,0.000005503
OSGEP,-4.544,-,0.00000552
ANXA7,-4.543,-,0.000005541
CAPRIN1,-4.542,-,0.000005567
OSGEPL1,-4.542,-,0.000005569
PSTPIP1,4.542,+,0.000005584
WBSCR22,-4.541,-,0.000005599
APOBEC3F,4.539,+,0.00000564
TUBB,-4.539,-,0.000005661
CUL2,-4.537,-,0.000005701
TXLNG2P,-4.537,-,0.000005701
RPL6,-4.535,-,0.000005767
ALDH9A1,-4.534,-,0.000005777
PSAP,4.534,+,0.000005787
SLC16A6,4.534,+,0.000005795
DYRK1A,-4.534,-,0.000005799
FPR1,4.533,+,0.000005826
CTSS,4.532,+,0.000005834
RAN,-4.532,-,0.000005839
IL17RA,4.531,+,0.000005877
THUMPD1,-4.531,-,0.000005884
TMEM219,4.529,+,0.000005917
DIS3,-4.528,-,0.000005952
MTA1,-4.528,-,0.000005952
POLR2B,-4.528,-,0.000005961
KCNA5,-4.527,-,0.000005989
NUDT3,4.526,+,0.000006019
DHRS12,4.525,+,0.000006029
PRKAR2A,4.524,+,0.000006059
USP14,-4.523,-,0.000006083
SPRED1,4.522,+,0.000006115
AMD1,-4.522,-,0.000006133
BHLHB9,-4.52,-,0.000006179
HPGD,-4.52,-,0.000006186
PLXND1,4.52,+,0.000006197
RNF115,4.518,+,0.000006238
FAS,4.515,+,0.000006317
EHD1,4.514,+,0.000006363
LMNB1,4.513,+,0.000006403
APOL6,4.512,+,0.000006414
NAT9,-4.512,-,0.000006435
ATG9A,4.511,+,0.000006443
G3BP2,-4.511,-,0.000006453
TBCD,4.51,+,0.000006484
FLNA,4.509,+,0.000006525
HCFC1R1,4.508,+,0.000006551
KAT6B,-4.507,-,0.000006568
KIR2DL1,4.501,+,0.000006778
ARHGAP17,-4.499,-,0.000006815
LSM10,4.499,+,0.000006835
PCNXL4,-4.499,-,0.000006835
C2,4.498,+,0.000006868
TCEAL8,-4.497,-,0.000006902
ZW10,-4.497,-,0.000006906
ARHGEF35,-4.496,-,0.000006922
SLC29A2,-4.496,-,0.000006933
ME1,-4.496,-,0.000006937
SH2D1A,-4.494,-,0.000006994
TMEM140,4.494,+,0.000007005
HARS,-4.49,-,0.000007108
PODN,4.49,+,0.000007129
BTAF1,-4.49,-,0.00000713
UBAC2,-4.489,-,0.00000714
CASP8,4.489,+,0.000007158
DNAJC10,-4.487,-,0.000007237
MTBP,-4.486,-,0.000007255
B4GALT7,-4.485,-,0.000007286
ZC3H14,-4.484,-,0.000007314
HIST1H4H,4.483,+,0.000007357
ZNF236,-4.483,-,0.000007362
SPIN3,-4.482,-,0.000007381
GLDC,-4.482,-,0.000007383
METTL10,-4.48,-,0.000007479
SELP,4.478,+,0.000007548
TOR1A,4.477,+,0.000007574
DCTN2,4.477,+,0.000007579
ALKBH7,-4.476,-,0.000007591
MATR3,-4.475,-,0.00000764
SERTAD3,4.475,+,0.000007652
USPL1,-4.475,-,0.000007652
RASGRP4,4.474,+,0.000007679
FOXRED1,-4.473,-,0.000007696
ZSWIM1,-4.473,-,0.000007711
FARS2,-4.473,-,0.000007715
ATP8B2,-4.472,-,0.000007744
C9orf89,4.472,+,0.000007753
WDR77,-4.471,-,0.000007775
SLC16A3,4.471,+,0.000007781
FOXI2,4.47,+,0.000007828
CTSH,4.469,+,0.000007843
LOC284837,4.468,+,0.000007896
TNFRSF13C,-4.468,-,0.000007911
PRKAG1,4.467,+,0.000007941
PLEKHO2,4.467,+,0.000007948
COQ2,4.465,+,0.000008004
SLC25A43,4.465,+,0.00000802
MT1G,4.464,+,0.000008053
CAMSAP2,-4.464,-,0.000008055
BCL9L,-4.464,-,0.000008057
AMER1,-4.463,-,0.000008087
ATG4C,-4.462,-,0.000008112
RAB11FIP2,-4.461,-,0.000008159
KEAP1,4.461,+,0.000008171
TLR4,4.46,+,0.000008209
ALDOA,4.459,+,0.000008224
CD14,4.459,+,0.00000825
SPOCD1,4.456,+,0.00000836
CACNA1D,4.454,+,0.000008428
ANKRD36B,-4.453,-,0.000008457
ALDH7A1,-4.452,-,0.000008524
STX8,4.451,+,0.000008543
CGGBP1,-4.451,-,0.000008558
UGDH,-4.449,-,0.000008617
IL1RN,4.448,+,0.00000867
GOT2,-4.448,-,0.000008687
BUB3,-4.447,-,0.000008715
MAP4,4.446,+,0.000008737
MCM7,-4.446,-,0.000008745
MRPS2,-4.446,-,0.000008762
BCDIN3D,-4.445,-,0.000008801
NSUN5P2,-4.443,-,0.000008853
PER2,-4.443,-,0.00000886
MRPS35,-4.443,-,0.000008864
TBC1D32,-4.443,-,0.00000887
TSEN15,-4.442,-,0.000008893
COG3,-4.441,-,0.000008941
TTF1,-4.44,-,0.000009014
GTF3C3,-4.436,-,0.000009144
ITPRIPL1,4.433,+,0.000009291
RPS15,-4.431,-,0.000009378
HS1BP3,4.43,+,0.000009436
ADNP,-4.428,-,0.000009504
LAS1L,-4.427,-,0.000009566
ATG14,-4.426,-,0.000009591
GPR132,4.426,+,0.000009602
ZNF281,4.424,+,0.000009686
ZMYM4,-4.424,-,0.000009689
CYP2U1,-4.424,-,0.000009692
LIN7A,4.424,+,0.000009695
CSTB,4.424,+,0.000009705
PYROXD2,4.423,+,0.000009736
TAF2,-4.422,-,0.000009761
PINK1,4.421,+,0.000009824
ST7,4.419,+,0.000009893
CTSA,4.419,+,0.000009895
HRK,4.419,+,0.000009929
MAPK7,4.415,+,0.00001012
ZNF493,-4.414,-,0.00001013
LTBP4,4.414,+,0.00001016
UBE2G1,-4.412,-,0.00001025
IQGAP1,4.411,+,0.00001027
COPZ2,4.411,+,0.0000103
RFXAP,-4.411,-,0.00001031
PELP1,-4.409,-,0.0000104
C1RL,4.408,+,0.00001044
MCTP2,4.407,+,0.00001048
SRI,4.407,+,0.00001048
MBD2,4.407,+,0.0000105
IFITM2,4.406,+,0.00001053
PTDSS1,-4.403,-,0.00001066
RCBTB2,4.403,+,0.00001069
C21orf59,-4.4,-,0.00001082
NVL,-4.4,-,0.00001082
MOSPD3,4.4,+,0.00001084
FBXO5,-4.399,-,0.00001085
MARCKSL1,-4.398,-,0.00001094
PTPN11,-4.396,-,0.00001105
FMNL3,-4.395,-,0.00001108
NABP2,4.394,+,0.00001111
POLB,4.391,+,0.00001131
ACYP1,-4.39,-,0.00001132
CCND3,4.39,+,0.00001133
CLEC12A,4.389,+,0.00001139
NDUFAF4,-4.387,-,0.00001148
C2orf44,-4.387,-,0.00001152
CUL5,-4.386,-,0.00001155
KLHL12,4.386,+,0.00001157
ACBD6,-4.384,-,0.00001165
CCDC106,-4.382,-,0.00001176
LGALS12,4.382,+,0.00001179
LIN9,-4.379,-,0.00001195
DCBLD1,4.377,+,0.00001201
CDKN2D,4.376,+,0.00001207
UBA5,-4.376,-,0.00001211
OARD1,-4.375,-,0.00001215
ZNF525,-4.375,-,0.00001217
SCAMP3,-4.375,-,0.00001217
SIRT2,4.373,+,0.00001227
CTNNB1,4.371,+,0.00001236
PPP1R13B,-4.37,-,0.0000124
PAPSS1,4.37,+,0.00001245
GIMAP6,-4.368,-,0.00001253
ENPP2,-4.368,-,0.00001256
IQSEC1,4.367,+,0.00001259
PCBP4,4.366,+,0.00001268
LCP1,4.365,+,0.00001269
UPF3A,-4.363,-,0.00001283
GRSF1,-4.363,-,0.00001283
RALGAPA1,-4.362,-,0.00001289
GALM,4.361,+,0.00001296
ADCY7,4.36,+,0.00001303
PXK,4.359,+,0.00001305
ATP5A1,-4.359,-,0.00001309
IL24,-4.358,-,0.00001313
SLC4A8,4.358,+,0.00001315
UBR4,4.357,+,0.00001319
XKR6,-4.357,-,0.00001321
C5orf28,-4.357,-,0.00001322
RSAD2,4.356,+,0.00001325
STARD7,4.355,+,0.00001333
CCDC69,4.352,+,0.00001347
SERPING1,4.352,+,0.00001352
RNF166,4.35,+,0.00001362
DHX37,-4.35,-,0.00001364
IFITM3,4.35,+,0.00001364
TYW3,-4.349,-,0.00001369
MORF4L2,-4.348,-,0.00001377
PUS7L,-4.345,-,0.0000139
EDF1,-4.345,-,0.00001394
DEXI,-4.344,-,0.00001396
IL1B,-4.344,-,0.00001401
CISD1,-4.343,-,0.00001404
ACACA,-4.342,-,0.00001415
CCDC117,-4.342,-,0.00001415
ZNF280C,-4.34,-,0.00001428
SLC36A1,4.339,+,0.00001428
RPL24,-4.338,-,0.00001437
PARP11,-4.337,-,0.00001443
ANKRD13D,4.336,+,0.0000145
APAF1,4.335,+,0.00001455
PFKP,4.333,+,0.0000147
CACNA1E,4.333,+,0.00001472
MYO3B,4.33,+,0.00001488
STAP1,-4.326,-,0.00001517
CDH23,4.326,+,0.00001518
BCL2L12,-4.326,-,0.00001521
RTN3,4.325,+,0.00001522
PIGL,-4.325,-,0.00001528
SOX7,-4.322,-,0.00001544
TOMM22,-4.321,-,0.0000155
PAQR3,-4.322,-,0.0000155
FOPNL,-4.32,-,0.00001561
SETDB2,-4.32,-,0.00001561
GTF3C1,4.319,+,0.00001567
OLFM1,4.318,+,0.00001573
RAB3D,4.318,+,0.00001575
UXS1,-4.317,-,0.0000158
KIR3DL1,4.317,+,0.00001581
CPEB2,4.317,+,0.00001584
PEX5,-4.317,-,0.00001585
SFXN3,4.316,+,0.0000159
GRPEL1,-4.316,-,0.00001592
FGFR1OP2,-4.315,-,0.00001595
TMEM62,4.315,+,0.00001596
SRR,-4.315,-,0.00001598
GALNT3,4.314,+,0.00001602
PIBF1,-4.314,-,0.00001603
RSAD1,-4.313,-,0.00001611
EPB41L3,4.313,+,0.00001613
NSRP1,-4.311,-,0.00001626
ALDOC,-4.31,-,0.00001633
CDKN1B,-4.31,-,0.00001635
NUMA1,-4.309,-,0.00001638
STX12,4.309,+,0.00001639
SLC2A3,4.308,+,0.00001644
CCNDBP1,4.308,+,0.00001651
TAPBP,4.306,+,0.00001665
ZNF770,-4.305,-,0.00001671
HERC2,-4.304,-,0.00001676
ENC1,4.303,+,0.00001684
TNFSF10,4.301,+,0.000017
EHBP1,-4.3,-,0.00001708
TMC8,-4.299,-,0.00001719
PEA15,4.296,+,0.00001737
SLC6A12,4.296,+,0.00001739
SRRT,-4.296,-,0.00001742
CLTB,4.296,+,0.00001742
TMEM168,-4.295,-,0.00001744
C15orf52,4.294,+,0.00001751
RNASEL,4.294,+,0.00001754
ITPK1,4.293,+,0.00001765
PLEKHF2,-4.291,-,0.00001779
ARL1,-4.291,-,0.00001781
GEMIN8,-4.29,-,0.00001789
RAB35,4.289,+,0.00001791
RBCK1,4.289,+,0.00001795
SLC27A5,-4.289,-,0.00001798
DBNDD2,4.288,+,0.000018
VWA3B,4.284,+,0.00001837
BRWD1,-4.283,-,0.00001841
AP1S1,4.283,+,0.00001844
CD47,-4.283,-,0.00001846
CEP120,-4.282,-,0.00001853
STX16,-4.282,-,0.00001854
COX8A,4.281,+,0.00001863
KLHL22,-4.279,-,0.00001876
UBE2N,-4.279,-,0.00001876
ZNF331,-4.276,-,0.00001906
KLRAP1,4.272,+,0.00001933
IKBKAP,-4.271,-,0.00001949
AES,-4.271,-,0.0000195
RNF13,4.27,+,0.00001953
TRPM6,-4.27,-,0.00001957
ZFAND2A,4.269,+,0.00001961
CRADD,4.269,+,0.00001967
LONP1,-4.267,-,0.00001978
SRP72,-4.267,-,0.0000198
TMUB2,4.267,+,0.0000198
CAPG,4.266,+,0.00001991
TREML1,4.264,+,0.00002006
GSN,4.264,+,0.00002011
TCEB2,4.263,+,0.00002018
CALHM2,4.262,+,0.00002022
NOP14,-4.261,-,0.00002036
ACVR1B,4.261,+,0.00002037
MYL12B,4.259,+,0.00002057
CAPZA1,4.257,+,0.00002069
IRX3,4.257,+,0.00002069
PAXBP1,-4.255,-,0.00002093
C19orf40,4.255,+,0.00002094
TBX21,4.254,+,0.000021
GEMIN5,-4.254,-,0.00002103
SLC22A23,-4.251,-,0.00002131
SHPRH,-4.25,-,0.00002135
UBQLN2,-4.249,-,0.00002146
SLC22A1,4.248,+,0.00002153
OR52K2,4.248,+,0.00002157
SCPEP1,4.247,+,0.0000217
FLT3,4.246,+,0.00002176
DEAF1,-4.245,-,0.00002188
ZFAND3,4.244,+,0.00002195
SPATA2L,4.243,+,0.0000221
TM2D3,-4.241,-,0.00002224
CHST3,4.24,+,0.00002233
TBC1D2B,4.24,+,0.00002235
GPC2,-4.24,-,0.00002237
ANKMY1,4.239,+,0.00002247
CD1C,-4.239,-,0.00002248
ABHD4,4.237,+,0.00002261
RECK,-4.237,-,0.00002262
RBM4,-4.237,-,0.0000227
SCARB1,-4.236,-,0.00002272
DYNLRB1,4.236,+,0.0000228
LAMC1,-4.235,-,0.00002284
G3BP1,-4.235,-,0.0000229
